id_municipio,sigla_uf,domicilios,populacao,area,taxa_alfabetizacao,idade_mediana,razao_sexo,indice_envelhecimento,populacao_indigena,populacao_indigena_terra_indigena,populacao_quilombola,populacao_quilombola_territorio_quilombola
1304401,AM,5202.0,23539.0,2886.0,0.93704,26.0,102.56,21.68,1710.0,0.0,0.0,0.0
1600279,AP,10331.0,35059.0,30783.0,0.89752,26.0,102.84,20.59,145.0,94.0,345.0,0.0
1600055,AP,1364.0,4631.0,7713.0,0.93713,26.0,106.86,15.53,2.0,0.0,0.0,0.0
2103554,MA,4105.0,14898.0,726.0,0.76987,26.0,106.49,24.52,8.0,0.0,0.0,0.0
2109304,MA,3111.0,10543.0,460.0,0.80286,26.0,98.44,25.32,0.0,0.0,2213.0,0.0
2101707,MA,17971.0,65461.0,3046.0,0.83108,26.0,103.56,23.05,39.0,0.0,2720.0,0.0
2106631,MA,3903.0,17413.0,794.0,0.80803,26.0,102.79,21.49,1.0,0.0,229.0,0.0
2112704,MA,12882.0,43250.0,1959.0,0.7757,26.0,100.68,28.06,19.0,0.0,1747.0,107.0
2100303,MA,6664.0,23283.0,1942.0,0.71543,26.0,100.38,25.71,12.0,0.0,158.0,0.0
2102325,MA,16339.0,55406.0,2545.0,0.7945,26.0,100.0,25.92,248.0,153.0,0.0,0.0
2108256,MA,6940.0,24297.0,1754.0,0.79584,26.0,99.85,26.37,33.0,0.0,3899.0,257.0
2106904,MA,7956.0,27746.0,1246.0,0.79547,26.0,100.83,29.06,79.0,0.0,4720.0,0.0
2107209,MA,3526.0,14163.0,571.0,0.80371,26.0,93.0,21.6,5.0,0.0,617.0,0.0
2104651,MA,2806.0,10704.0,1144.0,0.81391,26.0,107.74,27.32,13.0,0.0,0.0,0.0
2108058,MA,4418.0,16994.0,979.0,0.7892,26.0,105.25,26.16,13.0,0.0,135.0,0.0
2112407,MA,10226.0,37459.0,2622.0,0.8428,26.0,97.41,25.85,20.0,0.0,4331.0,544.0
